科室列表	dataq/api/page/getSendDeptList
补收病历本费	api/medicalCard/rechargeMedFee
退还病历本费	api/medicalCard/refundMedFee
缴款结算	api/settleAccount/payAndSettle
结账确认	api/settleAccount/settleConfirm
取消结账	api/settleAccount/settleCancel
取消确认	api/settleAccount/cancelConfirm
打印门诊病历首页	api/medicalCard/printMZSF_MZBL
查询病人信息	dataq/api/page/queryPatientList
查询已扣费记录	dataq/api/page/qryHaveDeduction
查询未扣费记录	dataq/api/page/qryNoDeduction
查询就诊卡信息	api/medicalCard/qryMedicalCardList
查询卡操作记录	dataq/api/page/qryMedCardRecords
查询病历本费信息	dataq/api/page/qryBookFeeList
查询收费员收费记录	dataq/api/page/qryCharges
查询结账发票	dataq/api/page/qryCheckInvoice
查询结账预交金	dataq/api/page/qryCheckAdvance
查询发票明细	dataq/api/page/qryInvoiceDetails
查询预交金明细	dataq/api/page/qryAdvanceDetails
查询换卡明细	dataq/api/page/qryChangeCardDetails
查询退费明细	dataq/api/page/qryRefundDetails
查询农保明细	dataq/api/page/qryAgrInsurDetails
关系符字典	dataq/api/dict/relation
运算符字典	dataq/api/dict/operation
查询条件	dataq/api/search
通用字典查询	dataq/api/dict
门诊病人通用读卡	commom/web/readPatientCard
获取账户信息	api/account/getAccountInfo
1.获取清账退卡信息（修改直接调用此api）	api/account/patientAccountDeal
门诊预交金缴费/退费	api/deposit/saveMzAdvancePay
获取门诊病人交款明细（点击交款信息按钮）	dataq/api/page/outpatPayDetails
未扣费明细-挂号记录查询	dataq/api/page/getRegisteredRecord
门诊收费-未扣费明细查询	dataq/api/page/getOutUnpaidDetail
获取职业字典	dataq/api/page/getInHosOccupationDictList
获取地市字典列表	dataq/api/page/getInHosCityDictList
获取区县字典列表	dataq/api/page/getInHosAreaDictList
获取单位字典名称	dataq/api/page/getInHosCompanyDictList
通用字典配置	dataq/api/xdict
动态字典	dataq/api/xdict
查询就诊卡信息	dataq/api/page/qryCard
查询病人信息	dataq/api/page/qryPatient
查询就诊卡业务	dataq/api/page/qryCardRecords
获取投保类别字典	dataq/api/page/getInsureSortDictList
获取地域范围字典	dataq/api/page/getAreaRange
预交金退款获取默认退款金额	api/deposit/doSetTKDefaultJFJE00
读卡器获取病人信息	commom/web/readPatientCard
门诊通用读卡	commom/web/readPatientCard
静态字典全部	cache/getUpdateDict
表名列表	configTable/querypage
新增路由	api/addRouter
门诊病人建卡登记	api/medicalCard/buy
获取民族字典列表	dataq/api/page/getInHosNationDictList
静态字典更新	cache/getUpdateDict/update
出院结算精准扶贫病人列表	dataq/api/page/getOutHospSettlForJzfpBrList
病人基本信息修改	api/medicalCard/editPatientInfo
动态字典dict	dataq/api/dict
扶贫病种操作 	api/inHosp//handlePoveAllevDisea
票据领用查询	dataq/api/page/queryBillList
显示票据使用情况	dataq/api/page/queryBillDetailsList
票据启用或停用	api/invoiceManage/billStatus
门诊票据增删改	api/invoiceManage/newBill
获取村委字典列表	dataq/api/page/getInHosVillageDictList
获取缴款单序号	api/settleAccount/getPayBillNo
出生日期转年龄	api/medicalCard/getBirthToAge
打印门诊病历首页	print/api/query/printMZSF_MZBL
打印门诊结账单	print/api/query/printMZSF_JZD
获取医院结算银行参数	api/medicalCard/getYYJSYHData
获取门诊建档界面初始化和系统参数	api/medicalCard/getInitAndSysData
缴款预览	api/settleAccount/payAndPreview
获取精准扶贫病种字典	dataq/api/page/getPoveAllevDiseaDictList
引擎DEMO1_1	api/odctest/odcTestOne1
获取新医保参数	api/medicalCard/getNewYBCS
获取建档前医保资格信息查询入参	api/medicalCard/getBuyCardYBReqParam
获取建档前医保资格信息查询出参	api/medicalCard/getBuyCardYBResParam
病区科室	dataq/api/wardDepartment
打印变更单	print/api/query/printMZSF_BGD
查询统一支付平台操作日志	dataq/api/page/getUnifiedPayOperLogList4mz
查询日志明细项列表	dataq/api/page/getUnifiedPayLogDetailList
打印门诊缴款明细	print/api/query/printMZSF_JKMX
导出结账发票	dataq/export/qryCheckInvoice
导出结账预交金	dataq/export/qryCheckAdvance
导出发票明细	dataq/export/qryInvoiceDetails
导出预交金明细	dataq/export/qryAdvanceDetails
导出换卡明细	dataq/export/qryChangeCardDetails
导出退费明细	dataq/export/qryRefundDetails
关联模块demo	relation/moduleid/demo
病案首页界面数据	dataq/api/page/medicalRecordHomePageList
审核确认	api/deposit/reviewSave
aaaaaaaaaa	fffffffffffffffffffffffff
切换账户类别刷新账户信息	api/deposit/reloadAccount
获取投保类别字典	api/medicalCard/getInsureSort
获取收费员字典列表	dataq/api/page/getTollDictList
获取员工字典列表	dataq/api/page/getEmployeeDictList
统一支付退预交金（微信支付宝原路退）	api/deposit/exeMzYJJPAYTK
2.统一支付清账退款	api/account/exeMzAccountYJJPAY
查询诊疗卡领用情况	dataq/api/page/queryDatcard
查询诊疗卡领用收费员身份详细情况	dataq/api/page/queryDatCardList
查询诊疗卡领用仓库身份详细情况	dataq/api/page/queryDatCardLists
作废票据序号-票据类型非0	api/deposit/getPaperNo
作废票据序号-票据类型编号为0	api/invoiceManage/receiptType
作废票据	api/invoiceManage/voidedBill
核算项目次序设置	api/AccountingSequence/queryAccSeq
查询核算项目	dataq/api/page/queryBAProjectOrder
 4.账户修改，清账，退卡院内	api/account/modifyAccount
医保卡更换	api/medicalCard/changeMediCareCard
获取病区科室树	api/web/depttree/getPatientTreeArea
查询住院病人列表	dataq/api/page/qryInHospPatientList
导出住院病人列表	dataq/export/qryInHospPatientList
查询出院院病人列表	api/page/qryOutHospPatientList
导出出院病人列表	dataq/export/qryOutHospPatientList
导出卡操作记录	dataq/export/qryMedCardRecords
病人费用更正处理主数据	dataq/api/page/patientCostCorrectionMainList
获取用户信息	getUserInfo
获取病人门诊预交金票据信息	dataq/api/page/getOutpatientYjjPjxx
待审批的医技项目-医技计价明细	dataq/api/page/patientCostCorrectionGetYJJJ00List
预交金电子凭证信息	dataq/api/page/queryVoucherInfo
获取开票点凭证库存数量	boSiVoucher/getStockNumByPlaceCode
病人列表表头数据	dataq/api/header/getInHospPatientList
病人列表页面数据	dataq/api/page/getInHospPatientList
开具电子凭证(单个补开共用)	api/boSiVoucher/draw
批量补开电子凭证	boSiVoucher/batchDraw
获取是否精准扶贫	api/medicalCard/getSFJZFP
打印院内预交金&&电子凭证 （共用）	boSiVoucher/print
门诊费用免收处理病人信息查询	dataq/api/page/qryOutFeePatientInformation
门诊费用免收处理	dataq/api/page/qryOutpatientFeeExemption
 门诊收费分项目减免、优惠处理	api/OutpatientProcessing/outRedandPre
门诊费用按总金额减免、优惠处理	api/OutpatientProcessing/outTotamountRed
门诊费用免收处理总额减免功能	dataq/api/page/qryOutTotalDeduction
门诊费用免收处理减免标志非0金额统计	dataq/api/page/qryOutNonzeroAmountStatistics
门诊费用免收处理减免标志为0金额统计	dataq/api/page/qryOutIsZeroAmountStatistics
分院数据字典	dataq/api/page/getHospBranchDictList
结算收据信息列表	dataq/api/page/getSettReceiptListForMZBRFPZHCL
结算费用明细	dataq/api/page/getPayDetailListForMZBRFPZHCL
读卡	commom/web/readPatientCard
获取票据号	api/billComp/getFpxh
获取套餐预收费记录	dataq/api/page/packagePreChargeRecord
实名认证	api/medicalCard/certification
获取套餐明细	dataq/api/page/getPackageDetails
表格组件过滤模板	dataq/filter/find/getInHospPatientList4cy
确定预收费	api/settle/confirmPrecharge
获取系统列表	system/listSystem
获取数据源配置	api/getDataSource
门诊费用退费确认病人信息	dataq/api/page/qryRefundPatientInformation
门诊费用退费确认项目	dataq/api/page/qryRefundConfirmationItems
套餐退款	api/settle/confirmPackageRefund
门诊费用退费项目详情	dataq/api/page/qryDetailsRefundItems
门诊费用确认退费	api/OutpatientProcessing/outRefundCon
姓名下拉字典	dataq/api/page/getMzBillPatientNameDictList
保存系统	system/saveSystem
删除系统	system/removeSystem
更新系统	system/updateSystem
变更审批	api/medicalCard/approve
获取按钮是否可编辑列表	api/billComp/getBtnEnableList
表格组件过滤模板-保存	dataq/filter/save/getInHospPatientList4cy
表格组件过滤模板-删除	dataq/filter/delete/getInHospPatientList4cy
发票重置	api/billComp/billReset
发票补打	api/billComp/billSupplePrint
获取病人信息	api/medicalCard/getPatientInfo
发票作废	api/billComp/billToVoid
查询数据源	database/listDatabase
保存数据源	database/saveDatabase
更新数据源	database/updateDatabase
删除数据源	database/removeDatabase
数据源校验	database/verifyDatabase
解析异地社保卡或二代证	api/medicalCard/parseRemoteCardOrId
发票打印	api/billComp/billPrint
发票复打	api/billComp/billRepeatPrint
门诊结算读卡	api/settlePage/qrySettle
校验发票打印可以操作 结账单号	api/billComp/checkJzdhForBillPrint
登录	login
收据补打	api/billComp/patchReceiptPrint
收据转发票	api/billComp/changeReceipt2Bill
打印退卡说明	print/api/query/printMZSF_TKSM
查询门诊明细清单	dataq/api/page/qryOutpatientList
打印门诊清单	print/api/query/printZsfptFPRQD
打印门诊汇总清单	print/api/query/printZsfptRQDHZ
打印门诊明细单行	print/api/query/printMzsFptZTRQD
打印门诊医保清单	print/api/query/printZsffptFPRQDYBGS
查询系统名称&ID	system/listSysName
查询路由	route/listRoute
保存路由	route/saveRoute
删除路由	route/removeRoute
更新路由	route/updateRoute
动态获取数据库表	database/listTables
查询数据源名称&ID	database/listDbName
取药凭证信息	api/billComp/getReceiptMediInfo
门诊病人综合查询-基本信息	dataq/api/page/ComprehensiveInquiryofPatients
门诊病人综合查询-病人查找	dataq/api/page/ComprehensiveFindPatient
门诊病人综合查询-账户信息	dataq/api/page/ComprehensiveAccountInformation
门诊病人综合查询-预交金信息	dataq/api/page/ComprehensiveAdvancePayment
门诊病人综合查询-支付明细记录	dataq/api/page/ComprehensivePaymentDetails
门诊病人综合查询-支付明细单条记录	dataq/api/page/ComprehensiveSingleDetails
门诊病人综合查询-未结算费用	dataq/api/page/ComprehensiveUnsettledExpenses
门诊病人综合查询-结算记录	dataq/api/page/ComprehensiveSettlementRecord
门诊病人综合查询-结算明细一	dataq/api/page/ComprehensiveSettlementDetailsOne
门诊病人综合查询-结算明细二	dataq/api/page/ComprehensiveSettlementDetailsTwo
门诊病人综合查询-票据信息	dataq/api/page/ComprehensiveBillInformation
 门诊病人综合查询-挂号信息	dataq/api/page/ComprehensiveRegistrationInformation
门诊病人综合查询-诊断信息	dataq/api/page/ComprehensiveDiagnosticInformation
 门诊病人综合查询-费用明细信息	dataq/api/page/ComprehensiveExpenseDetails
门诊病人综合查询-费用汇总信息	dataq/api/page/ComprehensiveCostAggregation
门诊病人综合查询-费别转换记录	dataq/api/page/ComprehensiveFeeConversion
 门诊病人综合查询-退费信息	dataq/api/page/ComprehensiveRefundInformation
门诊病人综合查询-待记账信息	dataq/api/page/ComprehensiveTobeBookkept
查询药房取药排队队列列表	dataq/api/page/getPharmPickUpLineQueueList
查询预交金支付方式修改列表	dataq/api/page/getAdvanPaymWayModifyList
病人挂号相关操作	dataq/api/page/getPaitentGHOperList
打印医保卡更换凭证	print/api/query/printDJ_M
补打预交金单	print/api/query/printAdvancePayment
查询数据集	dataset/listDataset
保存数据集	dataset/saveDataset
删除数据集	dataset/removeDataset
更新数据集	dataset/updateDataset
查询数据集类型	dataset/listDatasetType
查询数据集相关系统	dataset/listDatasetSys
查询数据集标准类型	dataset/listDatasetStandard
更正确定前置提示接口	api/costCorrection/beforeBtnOKClick
病人费用更正确定	api/costCorrection/btnOKClick
退费撤销	costCorrection/btnCancelClick
查询收费员结账确认记录	dataq/api/page/qrySettleConfirmedList
查询收费员结账未确认记录	api/page/qrySettleUnconfirmedList
医院结算银行-下拉框	dataq/api/xdict?zdbm=10034
新支付方式	dataq/api/xdict?zdbm=10033
补打取药单	api/compManage/patchPrintTakeMediList
查询结账确认结账发票	dataq/api/page/qryConfirmCheckInvoice
预交金支付方式确认修改	api/compManage/updateMZYWZHCL
查询结账确认结账预交金	dataq/api/page/qryConfirmCheckAdvance
查询结账确认发票明细	dataq/api/page/qryConfirmInvoiceDetails
查询结账确认预交金明细	dataq/api/page/qryConfirmAdvanceDetails
查询结账确认换卡明细	dataq/api/page/qryConfirmChangeCardDetails
查询结账确认退费明细	dataq/api/page/qryConfirmRefundDetails
审核人输入法字典	dataq/api/page/getStaffDictList
病人退号	api/compManage/patientTuiHao
查询门诊汇总清单	api/DailyListQuery/getSummaryList
门诊病人费别信息修改查询	dataq/api/page/getFeeModificationQuery
登录	dist/api/login
查询数据元	dataElement/listElement
保存数据元	dataElement/saveElement
删除数据元	dataElement/removeElement
更新数据元	dataElement/updateElement
账户查询列表	dist/api/accounts
查询数据子集	dataset/listSubDataSet
新增一个产品线	dist/api/pillar
新增产品线/产品图标	dist/api/logo/1
门诊病人信息查询-病人基本信息	dataq/api/page/qryGetBRXX00
门诊病人信息查询-病人账户信息	dataq/api/page/qryGetBRZHXX
门诊病人信息查询-病人交款信息	dataq/api/page/qryGetBRJFXX
门诊病人信息查询-病人费用信息	dataq/api/page/qryGetBRFYXX
门诊病人信息查询-病人费用明细-已或未结算	dataq/api/page/qryGetBRFYMX
门诊病人信息查询-病人未结算费用信息	dataq/api/page/qryGetBRWJSFYXX
门诊病人信息查询-病人已结算费用信息	dataq/api/page/qryGetBRYJSFYXX
获取带产品列表的产品线列表	dist/api/pillars?withProducts
查询产品线列表	dist/api/pillars
查询标准表	tableCollection/listTable
保存标准表	tableCollection/saveTable
删除标准表	tableCollection/removeTable
更新标准表	tableCollection/updateTable
新增一个产品	dist/api/product
新增一个产品版本	dist/api/version
分院名称-下拉框	dataq/api/xdict?zdbm=10026
打印病案首页	print/api/query/printBR_BASY
删除一个产品	dist/api/product/1
查询产品列表	dist/api/products
更新一个产品版本	dist/api/version/11
删除一个产品版本	dist/api/version/11
获取结算项目明细	dataq/api/page/getMZSettlePorjectList
获取病人结算信息列表	api/cancelSettle/getSettleDetailList
查询产品版本列表	dist/api/versions?product=1&withFiles
查询收费员缴款结账列表	dataq/api/page/qrySettleList
导出结账确认发票	dataq/export/qryConfirmCheckInvoice
导出结账确认预交金	dataq/export/qryConfirmCheckAdvance
查询病人列表表头数据	dataq/api/header/queryPatientList
查询病人列表数据	dataq/api/page/queryPatientList
导出确认发票明细	dataq/export/qryConfirmInvoiceDetails
导出确认预交金明细	dataq/export/qryConfirmAdvanceDetails
导出确认换卡明细	dataq/export/qryConfirmChangeCardDetails
导出确认退费明细	dataq/export/qryConfirmRefundDetails
收费员汇总结账单打印	api/settleQuery/printTollTotalSettleBills
全院汇总结账单打印	api/settleQuery/printTotalSettleBills
病人退号回调接口（医保回调、长事务）	api/compManage/callBackPatientTuiHao
查询所有失败记录	errRec/listAllErrRec
根据条件查询失败记录	errRec/listErrRecByParam
删除产品版本介质	dist/api/file/11
根据topic重新消费记录	errRec/reDoErrRecByTopic
根据offset重新消费记录	errRec/reDoErrRecByOffset
门诊病人就诊卡挂失查询	dataq/api/page/qryMedicalCardLose
账户授权查询	dist/api/privilege/account/1
下载记录	dist/api/log
病人费别-下来框	dataq/api/xdict?zdbm=10054
根据费别获取医保中心名称	dataq/api/page/qryMedicalInsuranceName
根据医保中心名称获取病人类别	dataq/api/page/qryPatientsCategory
门诊病人结算查询	dataq/api/page/qrySettlementInquiry
门诊病人结算查询-结算项目明细	dataq/api/page/qryDisplayInvoiceDetails
病人退号前置校验（ODC校验）	api/compManage/patientTuiHaoPreCheck
收费员搜索框	dataq/api/page/getMZTollDictList
门诊病人费用查询-病人挂号信息	dataq/api/page/qryGetMZBRFYCXGHXX
门诊病人费用查询-病人费用信息	dataq/api/page/qryGetMZBRFYCXFYXX
门诊病人费用查询-病人费用明细	dataq/api/page/qryGetMZBRFYCXFYMX
门诊病人费用查询-病人交费信息	dataq/api/page/qryGetMZBRFYCXJFXX
获取页面初始化字典	api/systemParameter/initDict
获取费别下拉列表	dataq/api/xdict?zdbm=10040
门诊病人挂号结果查询	dataq/api/page/getRegistrationResults
门诊挂号结果合计金额查询	api/DailyListQuery/getTotalAmounts
门诊病人取消结算	api/cancelSettle/mzCancelSettle
门诊预交金信息列表	dataq/api/page/getMzOutpAdvanPaymentList
收费员工作量统计	dataq/api/page/queryWorkloadStatistics
新医保接口费用登记冲销获取报文	api/hismzsfyb/getYBFYJSCXReqParam
查询值域	standard/listRange
保存值域	standard/saveRange
更新值域	standard/updateRange
删除值域	standard/removeRange
新医保接口交互后日志写入	api/hismzsfyb/setSendMedicalLog
查询标准值	standard/listValue
保存标准值	standard/saveValue
更新标准值	standard/updateValue
删除标准值	standard/removeValue
查询值域代码分类名称	standard/listRangeName
病人信息修改日志查询	dataq/api/page/quryInformationModificationLog
查询值域标准类型	standard/listRangeType
获取病人字典列表	dataq/api/page/getPatientSelection
分院下拉列表	dataq/api/xdict?zdbm=10026
门诊医保支付情况查询	dataq/api/page/quryMedicalInsurancePayment
通用FR3打印	print/api/query/printFr3
通用FRX打印	print/api/query/printFrx
门诊预交金收退款票据打印	api/bill/printVoucherBillInfo
测试服务器500状态	api/test500
获取票据序号（缴款，退款序号）	api/yjjQuery/getPJXH
补打/重置预交金单	api/yjjQuery/patchPrintYjjBill
获取医保支付方式下拉框	dataq/api/xdict?zdbm=10041
获取医保类别下拉框	dataq/api/xdict?zdbm=10042
门诊医保支付情况查询-医保统筹基金统计	dataq/api/page/getPoolingFundSum
表格列表合并表头数据	dataq/api/header/qrySettleList
表格列表合并表内容数据	dataq/api/page/qrySettleList
医保信息同步	api/DailyListQuery/setYbxxSynchronization
门诊票据使用情况查询	dataq/api/page/queryUsageofBills
获取票据类型下拉框	dataq/api/xdict?zdbm=10029
获取医保需要的Json串	ylz/yb/getInParam
医保返回Json串处理	ylz/yb/setOutParam
获取费别下拉框	dataq/api/xdict?zdbm=10043
根据费别获取医保类别	dataq/api/page/qryMedicalInsuranceCategory
查询医保收费对应目录-药品	dataq/api/page/queryMedicalInsuranceDrugs
查询医保收费对应目录-医疗项目	dataq/api/page/queryMedicalInsuranceProject
门诊现金收入稽核	dataq/api/page/queryRevenueAudit
门诊收费缴款稽核	dataq/api/page/queryPaymentAudit
门诊收费缴款稽核-合计	dataq/api/page/queryPaymentAuditSum
门诊收费缴款稽核-缴款明细	dataq/api/page/queryPaymentDetails
打印缴款单详细信息	print/api/query/printTmzsfptJZD
门诊收费项目稽核-按汇总显示	dataq/api/page/queryPayServiceSummary
门诊收费项目稽核-按明细显示	dataq/api/page/queryPayServiceDetailed
获取科室名称下拉框	dataq/api/xdict?zdbm=10044
获取票据类型下拉框	dataq/api/xdict?zdbm=10021
EMPI注册更新患者信息	api/medicalCard/SendNewPatient
获取分院下拉框	dataq/api/xdict?zdbm=10026
票据使用稽核	dataq/api/page/queryAuditofBillUse
门诊票据使用稽核-判断票据是否作废	dataq/api/page/queryIsTheBillVoid
打印票据使用清单明细	print/api/query/printTMzsfptFPRQD
查询预约病人列表	dataq/api/page/getAppointmentPatients
自动获取预约病人的病历号	api/InformationRegistrations/getMedicalRecordNo
预约病人信息登记	api/InformationRegistrations/setInformationRegistration
获取职退情况下拉框	dataq/api/xdict?zdbm=10022
刷新页面	api/settlePage/refreshPage
获取叫号窗口名称	api/callNumber/getCKMC
住院业务操作排队顺呼叫号	api/callNumber/getOperatePDSFJH
轮询操作返回顺呼和重呼名称	api/callNumber/myOnInnerTimerEvent
重呼	api/callNumber/setOperatePDCFJH
叫号列表查询	dataq/api/page/callNumberList
勾选项目重新计算金额数据	api/settlePage/loadAccountInfo
审批接口	api/medicalCard/approve
交易服务设置成功执行	api/deposit/serviceSetSuccess
统一支付交费执行成功获取单据票据	api/upi/paySuccess
1.结算前验证	api/settleVerify/settlementCheck
2.医保交互前准备	api/settle/doPreparMZSFYBJS
获取特殊病种列表	dataq/api/page/getTSBZBHByList
获取未取化验单	dataq/api/page/getNotTakenReport
getRKDListByYKBMBH	dataq/api/page/getRKDListByYKBMBH
药品字典下拉数据（顶部单个输入框）	dataq/api/page/listYpCkdDict
5.进行费用结算流程	api/settle/execMZSFFYJS
getYPXXListByRKDH	dataq/api/page/getYPXXListByRKDH
odc3 跟医保进行结算	api/settle/execMZSFYBJS
odc4医保费用结算冲销	api/settle/doFYJSYBCX
库存查询-用户登录所属部门性质	dataq/api/page/getNatureOfDepartment
药品树结构-药品搜索	dataq/api/page/getDrugTreeSearch
获取“出库类型”字典（第一个表格中列）	api/yk/drugsOutBaseComp/getYpCkTypeDict
转采购单	api/yk/drugsOutWareInput/transToPurchOrder
药库出库请领单(包括删除、接单、退回请领单)	api/yk/drugsOutWareInput/dealDrugStorApplyMore
保存出库单(请领单)	api/yk/drugsOutWareInput/save
获取药品树列表	api/yk/drugsTree/getDrugsTree
获取药品树列表明细	api/yk/drugsTree/getDrugsTreeMx
getYPGHDWList	dataq/api/page/getYPGHDWList
药品总库存查询	dataq/api/page/getTotalDrugInventory
药品批次库存	dataq/api/page/getBatchInventoryDrugs
药房批次库存	dataq/api/page/getPharmacyBatchInventory
药房库存信息	dataq/api/page/getPharmacyInventory
有效期修改	api/yk/inventoryQuery/updateDate
药品批次库存-使药品是否有效	api/yk/inventoryQuery/updateDrugYX
药房批次库存-使药房是否有效	api/yk/inventoryQuery/updatePharmacyYX
收货方下拉字典（左侧）	dataq/api/page/listSHFDictForYPCKQR
药品总库存-药库零售价独立管理	dataq/api/page/getTotalDrugLSJDLGL
出库记录查询（左侧查询列表）	dataq/api/page/listCKJLForYPCKQR
delGodownEntry	yk/rkdsr/delGodownEntry
获取省市区字典列表	dataq/api/page/getProvCityAreaDictList
获取类别下拉框	dataq/api/xdict?zdbm=10058
过往库存查询	dataq/api/page/getPastInventoryInquiry
药品明细记录（右侧第一个表格）	dataq/api/page/listYpmxJLForYPCKQR
全院药房库存信息（右侧第二个表格）	dataq/api/page/listQyYfKcXxForYPCKQR
获取药品请领明细（第二个表格）	dataq/api/page/listYPMXForYPCKDSR
查询出库单列表（第一个表格）	dataq/api/page/listYPCKDForYPCKDSR
药品历史明细记录(右侧第三个表格)	dataq/api/page/listYpLsMxJLForYPCKQR
病人退费开单--刷新发票信息	api/page/refreshInvoiceInfo
病人退费开单--显示允许申请退费处方	api/page/showCFTFSQ
获取药品名称字典列表	dataq/api/page/getDictionaryDrugNames
输入法获取出入类别字典	dataq/api/page/getAccessCategoryDictionary
退费开单--门诊处方退费确认	dataq/api/page/ShowCFTFQR
退药开单--获取处方明细	dataq/api/page/queryMZCFMX
获取药品树列表	api/yk/drugsTree/getDrugsTree
获取药品树列表明细	api/yk/drugsTree/getDrugsTreeMx
库存查询-用户登录所属部门性质	dataq/api/page/getNatureOfDepartment
表格列表内容数据-懒加载无统计	dataq/api/page/getApproveArrearageListNoCount
药品树结构-药品搜索-表头	dataq/api/header/getDrugTreeSearch
药品树结构-药品搜索	dataq/api/page/getDrugTreeSearch
出入流水账	dataq/api/page/queryInoutJournal
药品账页汇总查询(到药品)	dataq/api/page/queryDrugAccountSummary
会计账页	dataq/api/page/queryAccountingPage
门诊结算--退卡	api/settle/doTK
出库单审核确认	api/yk/drugsOutWareCheck/confirm
出库单确认“确认”/出库单出库“发送”	api/yk/drugsOutWareConfirm/confirm
申领单确认(成功后相关打印)	api/yk/drugsOutWareConfirm/confirmAfter
出库单确认/出库单出库、退回（对应头部“退回”按钮）	api/yk/drugsOutWareConfirm/back
门诊结算发票打印	api/settlePrint/printFPProcZHCL
退药开单--处方退费申请	api/refundBilling/doCFTFSQ_EDIT
退药开单--1.退费确认验证	api/refundBilling/refundConfirmCheck
退药开单--2.处方退费确认	api/refundBilling/doCFTFQR_EDIT
出库单选择、收获方列表发生变化操作	api/yk/drugsOutWareConfirm/dealShfListChanaged
点击新增药品按钮(底部菜单)	api/yk/drugsOutWareInput/addDrugInfo
打印取药单	api/refundBilling/getPrescriptionNum
导出就诊卡信息	api/medicalCard/exportMedicalCardList
打印换卡、补卡凭证	print/api/query/printMZSF_DJ_M
发送入库单号	yk/rkdsr/sendYPRKD
药库入库单（增删改）	yk/rkdsr/saveGodownEntry
到货单列表	dataq/api/page/getDHDList
门诊病人结算查询-结算费用明细	dataq/api/page/qrySettlementOfDetails
到货单对应药品信息列表	dataq/api/page/getDHDYPXXList
打印药库请领单明细_FRX打印(头部第二个打印)	print/api/query/printYcCkQldMx
转入库	yk/rkdsr/changePutInStorage
库单确认列表	dataq/api/page/getRKDQRListByYKBMBH
药库药品出库凭证_FRX打印((头部第三个打印))	print/api/query/printYkYpCkpz
根据身份证计算出 病人的性别、出生日期、出生地	api/medicalCard/getBRXXByBRSFZH
操作员下拉框	dataq/api/xdict?zdbm=10060
获取操作员编号	dataq/api/page/queryDLEmployeeNumber
票据确认	dataq/api/page/queryCZYNoteConfirmation
建档信息	dataq/api/page/queryCZYFilingInformation
卡操作信息	dataq/api/page/queryCZYCardOperationInformation
挂号信息	dataq/api/page/queryCZYRegistrationInformation
预交金信息	dataq/api/page/queryCZYPaymentInformation
发票信息	dataq/api/page/queryCZYInvoiceInformation
结算信息	dataq/api/page/queryCZYSettlementInformation
票据信息	dataq/api/page/queryCZYNoteInformation
缴款信息	dataq/api/page/queryCZYPaymentsInformation
住院登记	dataq/api/page/queryCZYHospitalRegistration
入库确认单对应药品明细列表	dataq/api/page/getRKDQRYPList
打印药库药品备货单(头部第一个打印)	print/api/query/printYkYpBhd
申领单位下拉字典	dataq/api/page/listSLDWDictForYPCKSH
